Wage Gap by Metropolitan Area Detailed Table,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Detailed table for ""What is the gender wage gap in your metropolitan area?""",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pew Research Center feature released June 2, 2022",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Interactive,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Source: Data from 2000 is derived from the 2000 decennial census; data from 2019 comes from the American Community Survey and is based on the 2015-2019 5-year ACS microdata sample. Both are provided by the Integrated Public Use Microdata Series (IPUMS) from the University of Minnesota. IPUMS assigns uniform codes, to the extent possible, to data collected in the ACS. The 2000 figures are based on the 5% sample. See ""How We Did This"" for more details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Note: This sheet is view only. You can export this data into a csv/Excel or other format by downloading. To download these tables, click ""File"" and then select ""Download"" to save in your preferred file format.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Terms of Use,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Privacy policy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Ages 16+,,,,,,,,Ages 16-29,,,,,,,,Ages 30-49,,,,,,,,Ages 50+,,,,,,,
MSA,FIPS,16+_2019_metro_rank,16+_2019_metro_perc,16+_2000_metro_perc,16+_2019_dollars_women,16+_2019_dollars_men,16+_2000_dollars_women,16+_2000_dollars_men,16+_map_change,16_29_2019_metro_rank,16_29_2019_metro_perc,16_29_2000_metro_perc,16_29_2019_dollars_women,16_29_2019_dollars_men,16_29_2000_dollars_women,16_29_2000_dollars_men,16_29_map_change,30_49_2019_metro_rank,30_49_2019_metro_perc,30_49_2000_metro_perc,30_49_2019_dollars_women,30_49_2019_dollars_men,30_49_2000_dollars_women,30_49_2000_dollars_men,30_49_map_change,50+_2019_metro_rank,50+_2019_metro_perc,50+_2000_metro_perc,50+_2019_dollars_women,50+_2019_dollars_men,50+_2000_dollars_women,50+_2000_dollars_men,50+_map_change
"Akron, OH",10420,187,77%,67%,"$41,006","$52,942","$40,020","$59,569",-0.10,172,86%,77%,"$29,830","$34,531","$30,785","$40,020",-0.09,140,80%,71%,"$45,000","$56,113","$43,869","$61,570",-0.09,165,73%,61%,"$43,779","$60,069","$42,483","$69,266",-0.12
"Albany-Schenectady-Troy, NY",10580,49,85%,73%,"$50,906","$60,000","$44,638","$61,416",-0.12,65,94%,88%,"$35,610","$37,769","$35,249","$40,020",-0.06,106,82%,75%,"$53,268","$64,746","$46,177","$61,570",-0.07,53,79%,65%,"$55,399","$70,000","$46,177","$71,421",-0.14
"Albuquerque, NM",10740,21,89%,79%,"$40,000","$45,000","$40,020","$50,795",-0.10,130,89%,89%,"$26,073","$29,136","$29,246","$32,786",0,23,89%,78%,"$42,615","$48,000","$43,099","$55,413",-0.11,25,82%,73%,"$48,028","$58,272","$44,638","$61,570",-0.10
"Allentown-Bethlehem-Easton, PA-NJ",10900,186,77%,70%,"$42,615","$55,000","$41,560","$59,723",-0.08,128,90%,81%,"$31,288","$34,944","$33,863","$41,560",-0.08,203,76%,72%,"$45,815","$60,000","$44,484","$61,570",-0.04,156,73%,60%,"$46,833","$63,922","$41,560","$68,804",-0.13
"Amarillo, TX",11100,189,77%,74%,"$37,059","$47,941","$35,403","$47,717",-0.03,240,77%,80%,"$25,000","$32,500","$25,090","$31,401",0.03,183,77%,71%,"$38,700","$50,061","$38,481","$53,874",-0.06,148,74%,69%,"$42,761","$58,033","$39,405","$57,106",-0.05
"Anchorage, AK",11260,129,81%,76%,"$50,906","$63,000","$46,485","$61,570",-0.05,85,93%,92%,"$34,000","$36,503","$35,403","$38,481",-0.01,171,79%,77%,"$53,268","$67,791","$50,795","$66,188",-0.02,76,77%,69%,"$61,087","$79,000","$56,952","$83,119",-0.09
"Ann Arbor, MI",11460,82,83%,70%,"$53,268","$63,922","$52,334","$75,269",-0.14,123,90%,81%,"$32,000","$35,610","$38,481","$47,717",-0.09,37,86%,72%,"$60,490","$70,000","$55,413","$76,962",-0.14,84,77%,56%,"$65,705","$85,249","$55,875","$100,051",-0.21
"Anniston-Oxford-Jacksonville, AL",11500,203,76%,70%,"$34,820","$45,800","$32,170","$46,177",-0.06,228,80%,84%,"$25,030","$31,200","$25,705","$30,785",0.03,209,75%,70%,"$37,288","$49,423","$33,863","$48,486",-0.06,211,69%,66%,"$37,059","$53,955","$35,403","$53,874",-0.03
"Asheville, NC",11700,36,86%,no data,"$37,000","$43,000",no data,no data,no data,42,97%,no data,"$28,057","$29,016",no data,no data,no data,18,89%,0%,"$40,000","$44,745",no data,no data,no data,62,78%,0%,"$40,675","$52,000",no data,no data,no data
