,OCC1950_NEW,NEW_IND50,YEAR,MIDWEST,NORTHEAST,SOUTH,WEST,EDUC1,EDUC2,EDUC3,EDUC4,EDUC5,educ_hs,FEMALE_COUNT,COUNT,FEM_RATIO,OCC_GENDER,LOG_MEDIAN_WAGE
0,Accountants and auditors,1,1960,0.2,0.06666666666666667,0.4,0.3333333333333333,0.06666666666666667,0.2,0.06666666666666667,0.26666666666666666,,0.4,5,15,0.3333333333333333,mixed,2.568759961183443
1,Accountants and auditors,1,1970,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.4444444444444444,,0.2222222222222222,0.2222222222222222,0.2222222222222222,,0.3333333333333333,3,9,0.3333333333333333,mixed,2.9459084871458003
2,Accountants and auditors,1,1980,0.21428571428571427,0.07142857142857142,0.32142857142857145,0.39285714285714285,0.07142857142857142,0.21428571428571427,0.21428571428571427,0.2857142857142857,0.07142857142857142,0.14285714285714285,12,28,0.42857142857142855,mixed,2.7916819794585845
3,Accountants and auditors,1,1990,0.2558139534883721,0.12790697674418605,0.26744186046511625,0.3488372093023256,0.20930232558139536,0.10465116279069768,,0.37209302325581395,0.08139534883720931,0.23255813953488372,55,86,0.6395348837209303,mixed,2.6534007561237236
4,Accountants and auditors,2,1950,0.23076923076923078,0.23076923076923078,0.3076923076923077,0.23076923076923078,0.07692307692307693,,0.07692307692307693,0.38461538461538464,,0.46153846153846156,2,13,0.15384615384615385,male,2.4260634732882207
5,Accountants and auditors,2,1960,0.20152091254752852,0.17870722433460076,0.39923954372623577,0.22053231939163498,0.08745247148288973,0.12927756653992395,0.09505703422053231,0.311787072243346,0.06844106463878327,0.30798479087452474,25,263,0.09505703422053231,male,2.8244851971161253
6,Accountants and auditors,2,1970,0.175,0.2,0.4166666666666667,0.20833333333333334,0.075,0.175,0.05,0.3333333333333333,0.09166666666666666,0.275,17,120,0.14166666666666666,male,3.008236522696764
7,Accountants and auditors,2,1980,0.1751592356687898,0.10828025477707007,0.49363057324840764,0.2229299363057325,0.05732484076433121,0.12738853503184713,0.0732484076433121,0.43312101910828027,0.1624203821656051,0.1464968152866242,97,314,0.3089171974522293,male,3.01947931728378
8,Accountants and auditors,2,1990,0.17755102040816326,0.14081632653061224,0.4448979591836735,0.23673469387755103,0.1673469387755102,0.12653061224489795,,0.5040816326530613,0.09591836734693877,0.10612244897959183,276,490,0.563265306122449,mixed,2.8727677085226553
9,Accountants and auditors,3,1950,0.5238095238095238,0.3333333333333333,0.047619047619047616,0.09523809523809523,0.06349206349206349,0.09523809523809523,0.1111111111111111,0.23809523809523808,0.07936507936507936,0.4126984126984127,8,63,0.12698412698412698,male,2.499907944686513
10,Accountants and auditors,3,1960,0.390359168241966,0.3487712665406427,0.11720226843100189,0.14366729678638943,0.07372400756143667,0.15406427221172023,0.08506616257088846,0.34215500945179583,0.07655954631379962,0.2684310018903592,106,1058,0.1001890359168242,male,2.8783106233500972
11,Accountants and auditors,3,1970,0.36,0.32,0.17,0.15,0.08,0.174,0.056,0.346,0.072,0.272,72,500,0.144,male,3.095797897102635
12,Accountants and auditors,3,1980,0.3468149646107179,0.2679474216380182,0.19211324570273003,0.19312436804853386,0.05864509605662285,0.12942366026289182,0.08291203235591507,0.38827098078867545,0.16076845298281092,0.17997977755308392,307,989,0.3104145601617796,male,2.985231209178401
13,Accountants and auditors,3,1990,0.2593516209476309,0.2709891936824605,0.22194513715710723,0.24771404821280132,0.15295095594347466,0.11055694098088113,,0.5045719035743973,0.1404821280133001,0.0914380714879468,596,1203,0.49542809642560265,mixed,2.919359294769417
14,Accountants and auditors,4,1950,0.4090909090909091,0.2727272727272727,0.21212121212121213,0.10606060606060606,0.13636363636363635,0.10606060606060606,0.07575757575757576,0.22727272727272727,0.030303030303030304,0.42424242424242425,7,66,0.10606060606060606,male,2.5983664378078415
15,Accountants and auditors,4,1960,0.2931297709923664,0.28091603053435116,0.2900763358778626,0.13587786259541984,0.10687022900763359,0.166412213740458,0.07480916030534351,0.3083969465648855,0.05801526717557252,0.28549618320610687,88,655,0.13435114503816795,male,2.849531658800054
16,Accountants and auditors,4,1970,0.3252032520325203,0.2764227642276423,0.3008130081300813,0.0975609756097561,0.10569105691056911,0.14634146341463414,0.07723577235772358,0.3170731707317073,0.10569105691056911,0.24796747967479674,39,246,0.15853658536585366,male,3.0459919457027826
17,Accountants and auditors,4,1980,0.2607843137254902,0.28823529411764703,0.31176470588235294,0.1392156862745098,0.07254901960784314,0.11176470588235295,0.08235294117647059,0.4196078431372549,0.15098039215686274,0.1627450980392157,171,510,0.3352941176470588,mixed,2.911430235671208
18,Accountants and auditors,4,1990,0.245014245014245,0.26638176638176636,0.3190883190883191,0.16951566951566951,0.17663817663817663,0.08262108262108261,,0.5028490028490028,0.13532763532763534,0.10256410256410256,355,702,0.5056980056980057,mixed,2.9263932615201593
19,Accountants and auditors,5,1950,0.35135135135135137,0.3783783783783784,0.13513513513513514,0.13513513513513514,0.02702702702702703,0.21621621621621623,0.05405405405405406,0.16216216216216217,0.08108108108108109,0.4594594594594595,0,37,0.0,mixed,2.7457388494281982
20,Accountants and auditors,5,1960,0.3058823529411765,0.2564705882352941,0.2611764705882353,0.17647058823529413,0.12,0.16,0.05411764705882353,0.25176470588235295,0.04470588235294118,0.36941176470588233,72,425,0.16941176470588235,male,2.831951013626928
21,Accountants and auditors,5,1970,0.2994350282485876,0.24293785310734464,0.2768361581920904,0.1807909604519774,0.0903954802259887,0.15254237288135594,0.07344632768361582,0.2655367231638418,0.06779661016949153,0.3502824858757062,47,177,0.2655367231638418,male,3.002741961908966
22,Accountants and auditors,5,1980,0.25333333333333335,0.216,0.3333333333333333,0.19733333333333333,0.08533333333333333,0.136,0.096,0.32,0.12266666666666666,0.24,163,375,0.43466666666666665,mixed,2.9512904541155422
23,Accountants and auditors,5,1990,0.2317262830482115,0.223950233281493,0.3561430793157076,0.18818040435458788,0.16485225505443235,0.14618973561430793,,0.47900466562986005,0.1057542768273717,0.104199066874028,335,643,0.52099533437014,mixed,2.901690605223879
24,Accountants and auditors,6,1950,0.3157894736842105,0.2807017543859649,0.15789473684210525,0.24561403508771928,0.08771929824561403,0.12280701754385964,0.05263157894736842,0.21052631578947367,0.08771929824561403,0.43859649122807015,8,57,0.14035087719298245,male,2.42107777373533
25,Accountants and auditors,6,1960,0.3300970873786408,0.2621359223300971,0.20970873786407768,0.19805825242718447,0.12815533980582525,0.19805825242718447,0.07766990291262135,0.21553398058252426,0.05825242718446602,0.32233009708737864,101,515,0.19611650485436893,male,2.690781104569409
26,Accountants and auditors,6,1970,0.2837370242214533,0.25259515570934254,0.23875432525951557,0.22491349480968859,0.10380622837370242,0.15570934256055363,0.06228373702422145,0.2698961937716263,0.05190311418685121,0.356401384083045,94,289,0.32525951557093424,male,2.9101904045437212
27,Accountants and auditors,6,1980,0.27287319422150885,0.17656500802568217,0.3579454253611557,0.1926163723916533,0.08025682182985554,0.15890850722311398,0.06741573033707865,0.37881219903691815,0.09951845906902086,0.21508828250401285,277,623,0.4446227929373997,mixed,2.7571974443684555
28,Accountants and auditors,6,1990,0.246422893481717,0.2233704292527822,0.28696343402225755,0.24324324324324326,0.1907790143084261,0.1359300476947536,,0.44435612082670906,0.0643879173290938,0.16454689984101747,766,1258,0.6089030206677265,mixed,2.7181946501739827
29,Accountants and auditors,7,1950,0.24324324324324326,0.5135135135135135,0.10810810810810811,0.13513513513513514,0.13513513513513514,0.16216216216216217,0.02702702702702703,0.21621621621621623,0.10810810810810811,0.35135135135135137,5,37,0.13513513513513514,male,2.5276875087935884
30,Accountants and auditors,7,1960,0.24686192468619247,0.40585774058577406,0.19665271966527198,0.1506276150627615,0.07740585774058577,0.12552301255230125,0.07112970711297072,0.3075313807531381,0.0794979079497908,0.3389121338912134,99,478,0.20711297071129708,male,2.729242526341159
31,Accountants and auditors,7,1970,0.2577639751552795,0.3695652173913043,0.2080745341614907,0.16459627329192547,0.09937888198757763,0.13975155279503104,0.07763975155279502,0.2577639751552795,0.08074534161490683,0.3447204968944099,95,322,0.2950310559006211,male,2.9605736811191177
